id,userId,movieId,rating,timestamp
1,1,17,4,944249077
2,1,25,1,944250228
3,1,29,2,943230976
4,1,30,5,944249077
5,1,32,5,943228858
6,1,34,2,943228491
7,1,36,1,944249008
8,1,80,5,944248943
9,1,110,3,943231119
10,1,111,5,944249008
11,1,161,1,943231162
12,1,166,5,943228442
13,1,176,4,944079496
14,1,223,3,944082810
15,1,232,5,943228442
16,1,260,5,943228696
17,1,302,4,944253272
18,1,306,5,944248888
19,1,307,5,944253207
20,1,322,4,944053801
21,1,345,1,944079376
22,1,356,2,943231120
23,1,527,3,943231120
24,1,541,5,943227521
25,1,562,5,944082810
26,1,593,3,944248888
27,1,608,2,944248943
28,1,645,4,944253272
29,1,800,4,944248888
30,1,835,3,944248888
31,1,838,5,943227632
32,1,908,5,944250228
33,1,909,5,944079417
34,1,912,2,943231120
35,1,915,5,944082760
36,1,916,4,944079376
37,1,923,5,944250228
38,1,926,5,944256398
39,1,927,5,944082894
40,1,933,5,944080344
41,1,971,3,944253272
42,1,1041,5,944253134
43,1,1056,5,944253207
44,1,1060,2,944080344
45,1,1080,1,944079496
46,1,1090,5,943231236
47,1,1094,4,943231236
48,1,1120,1,944250121
49,1,1136,1,943228327
50,1,1150,4,944250121
51,1,1172,3,944248943
52,1,1178,4,943231162
53,1,1183,4,944250228
54,1,1196,5,943228696
55,1,1197,1,943228442
56,1,1199,2,943230976
57,1,1200,5,943231236
58,1,1203,5,944248888
59,1,1204,1,943231192
60,1,1208,5,943231192
61,1,1210,2,943228858
62,1,1211,2,943228400
63,1,1213,5,944250121
64,1,1217,5,943231236
65,1,1221,5,944250121
66,1,1225,4,944248888
67,1,1228,5,944253207
68,1,1233,5,943231162
69,1,1234,5,944053948
70,1,1236,4,943228400
71,1,1242,1,943231162
72,1,1247,5,944250182
73,1,1259,4,944082760
74,1,1262,4,943231120
75,1,1263,5,944249008
76,1,1270,5,944082760
77,1,1272,5,943231236
78,1,1276,3,944248943
79,1,1288,4,943228545
80,1,1296,3,944250228
81,1,1297,5,944053949
82,1,1304,3,944053948
83,1,1357,1,944253134
84,1,1392,4,944256398
85,1,1406,2,944253134
86,1,1653,4,943230976
87,1,1693,5,944253134
88,1,1719,5,944249008
89,1,1721,5,944250182
90,1,1748,5,943228697
91,1,1784,1,943228545
92,1,1810,3,944253272
93,1,1885,4,944079496
94,1,1923,2,943228491
95,1,1939,5,943231236
96,1,1944,2,943231120
97,1,1952,4,944253272
98,1,1960,1,943231236
99,1,1961,1,944250182
100,1,1965,3,943228697
101,1,1968,5,944053948
102,2,31,5,836423902
103,2,34,5,836423429
104,2,39,5,836423445
105,2,48,5,836423886
106,2,153,3,836423237
107,2,185,5,836423308
108,2,186,5,836423602
109,2,193,3,836423902
110,2,207,5,836424010
111,2,216,4,836424027
112,2,218,5,836423984
113,2,222,5,836423998
114,2,225,5,836423429
115,2,231,2,836423266
116,2,236,4,836423512
117,2,237,5,836423935
118,2,253,1,836423308
119,2,276,4,836423921
120,2,282,5,836423512
121,2,296,1,836423202
122,2,305,3,836424027
123,2,318,5,836423266
124,2,339,5,836423284
125,2,344,1,836423237
126,2,349,3,836423237
127,2,350,5,836423624
128,2,356,5,836423469
129,2,357,4,836423870
130,2,362,5,836424125
131,2,364,5,836423445
132,2,377,4,836423602
133,2,380,5,836423202
134,2,381,5,836423984
135,2,454,4,836423445
136,2,457,5,836423308
137,2,466,3,836424079
138,2,500,5,836423677
139,2,508,5,836423970
140,2,520,4,836424091
141,2,539,5,836423870
142,2,551,4,836423921
143,2,552,4,836423998
144,2,585,4,836423959
145,2,586,3,836423886
146,2,587,5,836423870
147,2,588,5,836423237
148,2,592,4,836423201
149,2,594,5,836424079
150,2,595,5,836423266
151,2,597,5,836423886
152,2,616,5,836424109
153,2,783,5,836424241
154,3,2,3.5,1084485210
155,3,10,4,1084484675
156,3,11,4,1084485789
157,3,17,5,1084485217
158,3,26,4,1084486051
159,3,48,3.5,1084484418
160,3,62,5,1084486030
161,3,110,5,1084484542
162,3,141,0.5,1084484791
163,3,150,5,1084484538
164,3,151,5,1084485165
